时间,上行PRB平均利用率,下行PRB平均利用率,无线利用率,RRC连接最大数,RRC连接平均数,有效RRC连接最大数,有效RRC连接平均数,eNB间X2切换出请求次数,eNB间X2切换出成功次数,空口上行业务字节数,空口下行业务字节数
2018/3/21 15:00,0.0149,0.02,0.0191,4,1,3,0.258625,5,5,9369,98609
2018/3/21 16:00,0.0067,0.0153,0.0138,4,0.5,3,0.11765,32,31,2391,28398
2018/3/21 17:00,0.0178,0.0267,0.0251,3,1,2,0.2939,22,21,13076,299926
2018/3/21 18:00,0.0177,0.0277,0.026,4,1.75,3,0.3193,8,7,9275,81990
2018/3/21 19:00,0.0068,0.011,0.0102,4,1,2,0.1418,11,10,2536,14507
2018/3/21 20:00,0.026,0.0377,0.0356,8,3.75,5,0.546275,27,25,12145,398627
2018/3/21 21:00,0.0288,0.0538,0.0494,9,4,5,0.629925,9,8,12308,454779
2018/3/21 22:00,0.0132,0.0155,0.0151,6,2.25,3,0.24605,0,0,3559,42380
2018/3/21 23:00,0.0252,0.0186,0.0198,4,1.75,3,0.41305,0,0,8122,137992
2018/3/22 0:00,0.0097,0.0069,0.0074,5,2.25,3,0.191975,0,0,2163,3870
2018/3/22 1:00,0.0064,0.0066,0.0065,5,2,4,0.135875,0,0,1445,2116
2018/3/22 2:00,0.007,0.007,0.007,5,2,3,0.14485,0,0,1550,2172
2018/3/22 3:00,0.007,0.0066,0.0067,6,2,4,0.1439,4,4,1648,3068
2018/3/22 4:00,0.0089,0.0067,0.0071,5,2,3,0.14095,6,6,2964,3000
2018/3/22 5:00,0.0082,0.0065,0.0068,6,2.75,3,0.16935,7,7,2037,3990
2018/3/22 6:00,0.01,0.0147,0.0138,6,2.5,3,0.214325,18,17,4154,179252
2018/3/22 7:00,0.0137,0.0166,0.0161,7,2.25,4,0.284975,37,36,4263,115796
2018/3/22 8:00,0.0183,0.02,0.0197,7,2.25,3,0.284825,56,56,4914,25630
2018/3/22 9:00,0.014,0.0191,0.0182,6,2,4,0.277025,36,35,8812,157778
2018/3/22 10:00,0.0058,0.0113,0.0104,6,1.5,3,0.133675,35,32,1814,17260
2018/3/22 11:00,0.0108,0.0198,0.0182,4,0.75,3,0.158325,76,74,5062,57328
2018/3/22 12:00,0.0154,0.0076,0.009,5,1.5,3,0.160075,131,129,13724,8902
2018/3/22 13:00,0.0216,0.022,0.0219,6,2.25,5,0.399175,32,32,8810,134164
2018/3/22 14:00,0.0124,0.0177,0.0168,5,1.5,3,0.192275,20,18,5457,15296
2018/3/22 15:00,0.0091,0.0099,0.0098,5,1.5,3,0.16315,7,7,4081,10587
2018/3/22 16:00,0.0309,0.0173,0.0197,6,3.25,4,0.691575,75,73,13209,169700
2018/3/22 17:00,0.013,0.023,0.0213,6,2.5,3,0.27585,40,38,6750,349885
2018/3/22 18:00,0.0134,0.0228,0.0212,6,2.5,3,0.2925,40,37,6219,343941
2018/3/22 19:00,0.0205,0.021,0.0209,7,3,4,0.379725,52,49,9018,250561
2018/3/22 20:00,0.0221,0.0337,0.0317,7,3,5,0.462625,64,63,7571,302499
2018/3/22 21:00,0.0403,0.026,0.0285,8,3,5,0.568375,51,51,17853,144427
2018/3/22 22:00,0.0093,0.019,0.0172,6,1.5,3,0.18235,28,25,3522,67593
2018/3/22 23:00,0.0065,0.0074,0.0072,6,1.5,3,0.129525,18,18,1669,3456
2018/3/23 0:00,0.0062,0.0151,0.0135,4,1,2,0.1209,9,7,1565,12823
2018/3/23 1:00,0.0032,0.0071,0.0064,4,0.5,3,0.072175,0,0,980,11109
2018/3/23 2:00,0.0028,0.0056,0.0051,4,0.75,3,0.059725,0,0,684,881
2018/3/23 3:00,0.0028,0.0059,0.0053,4,0.5,2,0.0569,0,0,838,7997
2018/3/23 4:00,0.0031,0.0056,0.0052,3,0.5,2,0.075325,0,0,846,1498
2018/3/23 5:00,0.0038,0.0057,0.0054,5,1,2,0.0816,1,1,1088,1658
2018/3/23 6:00,0.0052,0.0067,0.0064,6,1.5,3,0.10145,12,12,1364,3510
2018/3/23 7:00,0.0135,0.0158,0.0154,7,2.5,4,0.283075,30,30,4899,41566
2018/3/23 8:00,0.0094,0.0085,0.0087,6,2,3,0.214725,38,36,2782,10372
2018/3/23 9:00,0.0437,0.0087,0.0149,4,1,3,0.22835,22,18,24266,16778
2018/3/23 10:00,0.0084,0.0179,0.0162,6,1.5,3,0.17045,33,26,2683,19455
2018/3/23 11:00,0.0084,0.0087,0.0086,6,1.5,3,0.201075,24,22,3041,31635
2018/3/23 12:00,0.0092,0.0099,0.0098,6,2,3,0.18275,9,5,3129,35981
2018/3/23 13:00,0.0058,0.0068,0.0066,5,1.25,3,0.131025,9,5,1854,4811
